Datum,Insgesamt indexiert
11.09.11,1
18.09.11,1
25.09.11,1
02.10.11,1
09.10.11,1
16.10.11,1
23.10.11,1
30.10.11,1
06.11.11,1
13.11.11,1
20.11.11,8
27.11.11,28
04.12.11,36
11.12.11,35
18.12.11,34
25.12.11,34
01.01.12,34
08.01.12,34
15.01.12,34
22.01.12,34
29.01.12,34
05.02.12,34
12.02.12,43
19.02.12,41
26.02.12,42
04.03.12,39
11.03.12,37
18.03.12,25
25.03.12,7
01.04.12,3
08.04.12,1
15.04.12,0
22.04.12,0
29.04.12,0
06.05.12,0
13.05.12,0
20.05.12,0
27.05.12,1
03.06.12,1
10.06.12,1
17.06.12,1
24.06.12,0
01.07.12,0
08.07.12,3
15.07.12,5
22.07.12,6
29.07.12,14
05.08.12,15
12.08.12,18
19.08.12,46
26.08.12,46
02.09.12,46
